word,polarity
avid,positive
avidly,positive
award,positive
awarded,positive
awards,positive
awe,positive
awed,positive
awesome,positive
awesomely,positive
awesomeness,positive
awestruck,positive
awsome,positive
back,positive
backbone,positive
balanced,positive
bargain,positive
basic,positive
bask,positive
beacon,positive
beatify,positive
beauteous,positive
beautiful,positive
beautifullly,positive
beautifully,positive
beautify,positive
beauty,positive
beckon,positive
beckoned,positive
beckoning,positive
beckons,positive
befit,positive
befitting,positive
befriend,positive
believable,positive
believeable,positive
beloved,positive
benefactor,positive
beneficent,positive
beneficial,positive
beneficially,positive
beneficiary,positive
benefit,positive
benefits,positive
benevolence,positive
benevolent,positive
benifits,positive
benign,positive
best,positive
best-known,positive
best-performing,positive
best-selling,positive
better,positive
better-known,positive
better-than-expected,positive
beutifully,positive
blameless,positive
bless,positive
blessing,positive
bliss,positive
blissful,positive
blissfully,positive
blithe,positive
blockbuster,positive
bloom,positive
blossom,positive
boast,positive
bold,positive
boldly,positive
boldness,positive
bolster,positive
bonny,positive
bonus,positive
bonuses,positive
boom,positive
booming,positive
boost,positive
boundless,positive
bountiful,positive
brainiest,positive
brains,positive
brainy,positive
brand-new,positive
brave,positive
bravery,positive
bravo,positive
breakthrough,positive
breakthroughs,positive
breathlessness,positive
breathtaking,positive
breathtakingly,positive
breeze,positive
bright,positive
brighten,positive
brighter,positive
brightest,positive
brightness,positive
brilliance,positive
brilliances,positive
brilliant,positive
brilliantly,positive
brisk,positive
broad,positive
brook,positive
brotherly,positive
bull,positive
bullish,positive
buoyant,positive
cajole,positive
calm,positive
calming,positive
calmness,positive
candid,positive
candor,positive
capability,positive
capable,positive
capably,positive
capitalize,positive
captivate,positive
captivating,positive
captivation,positive
care,positive
carefree,positive
careful,positive
cashback,positive
cashbacks,positive
catalyst,positive
catchy,positive
celebrate,positive
celebrated,positive
celebration,positive
celebratory,positive
celebrity,positive
champ,positive
champion,positive
charisma,positive
charismatic,positive
charitable,positive
charity,positive
charm,positive
charming,positive
charmingly,positive
chaste,positive
cheaper,positive
cheapest,positive
cheer,positive
cheerful,positive
cheery,positive
cherish,positive
cherished,positive
cherub,positive
chic,positive
chivalrous,positive
chivalry,positive
chum,positive
civil,positive
civility,positive
civilization,positive
civilize,positive
clarity,positive
classic,positive
classy,positive
clean,positive
cleaner,positive
cleanest,positive
cleanliness,positive
cleanly,positive
cleanse,positive
clear,positive
clear-cut,positive
cleared,positive
clearer,positive
clearly,positive
clears,positive
clever,positive
cleverly,positive
closeness,positive
clout,positive
co-operation,positive
coax,positive
coddle,positive
cogent,positive
cohere,positive
coherence,positive
coherent,positive
cohesion,positive
cohesive,positive
colorful,positive
colossal,positive
comeback,positive
comely,positive
comfort,positive
comfortable,positive
comfortably,positive
comforting,positive
comfy,positive
commend,positive
commendable,positive
commendably,positive
commensurate,positive
commitment,positive
commodious,positive
commonsense,positive
commonsensible,positive
commonsensibly,positive
commonsensical,positive
compact,positive
compactly,positive
compassion,positive
compassionate,positive
compatible,positive
compelling,positive
compensate,positive
competence,positive
competency,positive
competent,positive
competitive,positive
competitiveness,positive
complement,positive
complementary,positive
complemented,positive
complements,positive
compliant,positive
compliment,positive
complimentary,positive
comprehensive,positive
compromise,positive
compromises,positive
comrades,positive
conceivable,positive
conciliate,positive
conciliatory,positive
concise,positive
conclusive,positive
concrete,positive
concur,positive
condone,positive
conducive,positive
confer,positive
confidence,positive
confident,positive
confute,positive
congenial,positive
congratulate,positive
congratulation,positive
congratulations,positive
congratulatory,positive
conquer,positive
conscience,positive
conscientious,positive
consensus,positive
consent,positive
considerate,positive
consistent,positive
consistently,positive
console,positive
constancy,positive
constructive,positive
consummate,positive
content,positive
contentment,positive
continuity,positive
contrasty,positive
contribution,positive
convenience,positive
convenient,positive
conveniently,positive
conviction,positive
convience,positive
convienient,positive
convient,positive
convince,positive
convincing,positive
convincingly,positive
cool,positive
coolest,positive
cooperate,positive
cooperation,positive
cooperative,positive
cooperatively,positive
cordial,positive
cornerstone,positive
correct,positive
correctly,positive
cost-effective,positive
cost-saving,positive
counter-attack,positive
counter-attacks,positive
courage,positive
courageous,positive
courageously,positive
courageousness,positive
court,positive
courteous,positive
courtesy,positive
courtly,positive
covenant,positive
cozy,positive
crave,positive
craving,positive
creative,positive
credence,positive
credible,positive
crisp,positive
crisper,positive
crusade,positive
crusader,positive
cure,positive
cure-all,positive
curious,positive
curiously,positive
cushy,positive
cute,positive
cuteness,positive
dance,positive
danke,positive
danken,positive
dare,positive
daring,positive
daringly,positive
darling,positive
dashing,positive
dauntless,positive
dawn,positive
daydream,positive
daydreamer,positive
dazzle,positive
dazzled,positive
dazzling,positive
dead-cheap,positive
dead-on,positive
deal,positive
dear,positive
decency,positive
decent,positive
decisive,positive
decisiveness,positive
dedicated,positive
defeat,positive
defeated,positive
defeating,positive
defeats,positive
defend,positive
defender,positive
defense,positive
deference,positive
definite,positive
definitely,positive
definitive,positive
definitively,positive
deflationary,positive
deft,positive
deginified,positive
delectable,positive
delicacy,positive
delicate,positive
delicious,positive
delight,positive
delighted,positive
delightful,positive
delightfully,positive
delightfulness,positive
democratic,positive
demystify,positive
dependable,positive
dependably,positive
deserve,positive
deserved,positive
deservedly,positive
deserving,positive
desirable,positive
desire,positive
desiring,positive
desirous,positive
destine,positive
destined,positive
destinies,positive
destiny,positive
detachable,positive
determination,positive
devote,positive
devoted,positive
devotee,positive
devotion,positive
devout,positive
dexterity,positive
dexterous,positive
dexterously,positive
dextrous,positive
dig,positive
dignified,positive
dignify,positive
dignity,positive
diligence,positive
diligent,positive
diligently,positive
diplomatic,positive
dirt-cheap,positive
discerning,positive
discreet,positive
discretion,positive
discriminating,positive
discriminatingly,positive
distinct,positive
distinction,positive
distinctive,positive
distinguish,positive
distinguished,positive
diversified,positive
divine,positive
divinely,positive
dodge,positive
dominate,positive
dominated,positive
dominates,positive
dote,positive
dotingly,positive
doubtless,positive
dream,positive
dreamland,positive
dreams,positive
dreamy,positive
drive,positive
driven,positive
dumbfounded,positive
dumbfounding,positive
dummy-proof,positive
durability,positive
durable,positive
dynamic,positive
eager,positive
eagerly,positive
eagerness,positive
earnest,positive
earnestly,positive
earnestness,positive
ease,positive
eased,positive
eases,positive
easier,positive
easiest,positive
easily,positive
easiness,positive
easing,positive
easy,positive
easy-to-use,positive
easygoing,positive
ebullience,positive
ebullient,positive
ebulliently,positive
ecenomical,positive
eclectic,positive
economical,positive
ecstasies,positive
ecstasy,positive
ecstatic,positive
ecstatically,positive
edify,positive
educable,positive
educated,positive
educational,positive
effective,positive
effectively,positive
effectiveness,positive
effectual,positive
efficacious,positive
efficiency,positive
efficient,positive
efficiently,positive
effortless,positive
effortlessly,positive
effusion,positive
effusive,positive
effusively,positive
effusiveness,positive
egalitarian,positive
elan,positive
elate,positive
elated,positive
elatedly,positive
elation,positive
electrification,positive
electrify,positive
elegance,positive
elegant,positive
elegantly,positive
elevate,positive
elevated,positive
eligible,positive
elite,positive
eloquence,positive
eloquent,positive
eloquently,positive
emancipate,positive
embellish,positive
embolden,positive
embrace,positive
eminence,positive
eminent,positive
empathize,positive
empathy,positive
empower,positive
empowerment,positive
enable,positive
enchant,positive
enchanted,positive
enchanting,positive
enchantingly,positive
encourage,positive
encouragement,positive
encouraging,positive
encouragingly,positive
endear,positive
endearing,positive
endorse,positive
endorsed,positive
endorsement,positive
endorser,positive
endorses,positive
endorsing,positive
endurable,positive
endure,positive
enduring,positive
energetic,positive
energize,positive
energy-efficient,positive
energy-saving,positive
engaging,positive
engrossing,positive
enhance,positive
enhanced,positive
enhancement,positive
enhances,positive
enjoy,positive
enjoyable,positive
enjoyably,positive
enjoyed,positive
enjoying,positive
enjoyment,positive
enjoys,positive
enlighten,positive
enlightenment,positive
enliven,positive
ennoble,positive
enough,positive
enrapt,positive
enrapture,positive
enraptured,positive
enrich,positive
enrichment,positive
ensure,positive
enterprising,positive
entertain,positive
entertaining,positive
entertains,positive
enthral,positive
enthrall,positive
enthralled,positive
enthuse,positive
enthusiasm,positive
enthusiast,positive
enthusiastic,positive
enthusiastically,positive
entice,positive
enticed,positive
enticing,positive
enticingly,positive
entrance,positive
entranced,positive
entrancing,positive
entreat,positive
entreatingly,positive
entrust,positive
enviable,positive
enviably,positive
envious,positive
enviously,positive
enviousness,positive
envision,positive
envisions,positive
envy,positive
epic,positive
epitome,positive
equality,positive
equitable,positive
ergonomical,positive
err-free,positive
erudite,positive
especially,positive
essential,positive
established,positive
esteem,positive
eternity,positive
ethical,positive
eulogize,positive
euphoria,positive
euphoric,positive
euphorically,positive
evaluative,positive
even,positive
evenly,positive
eventful,positive
everlasting,positive
evident,positive
evidently,positive
evocative,positive
exalt,positive
exaltation,positive
exalted,positive
exaltedly,positive
exalting,positive
exaltingly,positive
examplar,positive
examplary,positive
excallent,positive
exceed,positive
exceeded,positive
exceeding,positive
exceedingly,positive
exceeds,positive
excel,positive
exceled,positive
excelent,positive
excellant,positive
excelled,positive
excellence,positive
excellency,positive
excellent,positive
excellently,positive
excels,positive
exceptional,positive
exceptionally,positive
excite,positive
excited,positive
excitedly,positive
excitedness,positive
excitement,positive
excites,positive
exciting,positive
excitingly,positive
exclusive,positive
excusable,positive
excuse,positive
exellent,positive
exemplar,positive
exemplary,positive
exhaustive,positive
exhaustively,positive
exhilarate,positive
exhilarating,positive
exhilaratingly,positive
exhilaration,positive
exonerate,positive
expansive,positive
expeditiously,positive
experienced,positive
expert,positive
expertly,positive
explicit,positive
explicitly,positive
expressive,positive
exquisite,positive
exquisitely,positive
extol,positive
extoll,positive
extraordinarily,positive
extraordinary,positive
exuberance,positive
exuberant,positive
exuberantly,positive
exult,positive
exultant,positive
exultation,positive
exultingly,positive
eye-catch,positive
eye-catching,positive
eyecatch,positive
eyecatching,positive
fabulous,positive
fabulously,positive
facilitate,positive
fair,positive
fairly,positive
fairness,positive
faith,positive
faithful,positive
faithfully,positive
faithfulness,positive
fame,positive
famed,positive
famous,positive
famously,positive
fancier,positive
fancinating,positive
fancy,positive
fanfare,positive
fans,positive
fantastic,positive
fantastically,positive
fantasy,positive
farsighted,positive
fascinate,positive
fascinating,positive
fascinatingly,positive
fascination,positive
fashionable,positive
fashionably,positive
fast,positive
fast-growing,positive
fast-paced,positive
faster,positive
fastest,positive
fastest-growing,positive
fathom,positive
faultless,positive
fav,positive
fave,positive
favor,positive
favorable,positive
favored,positive
favorite,positive
favorited,positive
favour,positive
fearless,positive
fearlessly,positive
feasible,positive
feasibly,positive
feat,positive
featly,positive
feature-rich,positive
fecilitous,positive
feisty,positive
felicitate,positive
felicitous,positive
felicity,positive
fertile,positive
fervent,positive
fervently,positive
fervid,positive
fervidly,positive
fervor,positive
festive,positive
fidelity,positive
fiery,positive
fine,positive
fine-looking,positive
finely,positive
finer,positive
finest,positive
firmer,positive
first-class,positive
first-in-class,positive
first-rate,positive
fit,positive
fitting,positive
flair,positive
flame,positive
flashy,positive
flatter,positive
flattering,positive
flatteringly,positive
flawless,positive
flawlessly,positive
flexibility,positive
flexible,positive
flourish,positive
flourishing,positive
fluent,positive
flutter,positive
fond,positive
fondly,positive
fondness,positive
foolproof,positive
foremost,positive
foresight,positive
forgave,positive
forgive,positive
forgiven,positive
forgiveness,positive
forgiving,positive
forgivingly,positive
formidable,positive
fortitude,positive
fortuitous,positive
fortuitously,positive
fortunate,positive
fortunately,positive
fortune,positive
fragrant,positive
frank,positive
free,positive
freed,positive
freedom,positive
freedoms,positive
fresh,positive
fresher,positive
freshest,positive
friend,positive
friendliness,positive
friendly,positive
friends,positive
friendship,positive
frolic,positive
frugal,positive
fruitful,positive
ftw,positive
fulfillment,positive
full-fledged,positive
fun,positive
functional,positive
funny,positive
futurestic,positive
futuristic,positive
gaiety,positive
gaily,positive
gain,positive
gained,positive
gainful,positive
gainfully,positive
gaining,positive
gains,positive
gallant,positive
gallantly,positive
galore,positive
geekier,positive
geeky,positive
gem,positive
gems,positive
generosity,positive
generous,positive
generously,positive
genial,positive
genius,positive
gentle,positive
gentlest,positive
genuine,positive
germane,positive
giddy,positive
gifted,positive
glad,positive
gladden,positive
gladly,positive
gladness,positive
glamorous,positive
glee,positive
gleeful,positive
gleefully,positive
glimmer,positive
glimmering,positive
glisten,positive
glistening,positive
glitter,positive
glitz,positive
glorify,positive
glorious,positive
gloriously,positive
glory,positive
glossy,positive
glow,positive
glowing,positive
glowingly,positive
go-ahead,positive
god-given,positive
god-send,positive
godlike,positive
godsend,positive
gold,positive
golden,positive
good,positive
goodly,positive
goodness,positive
goodwill,positive
goood,positive
gooood,positive
gorgeous,positive
gorgeously,positive
grace,positive
graceful,positive
gracefully,positive
gracious,positive
graciously,positive
graciousness,positive
grail,positive
grand,positive
grandeur,positive
grateful,positive
gratefully,positive
gratification,positive
gratified,positive
gratifies,positive
gratify,positive
gratifying,positive
gratifyingly,positive
gratitude,positive
great,positive
greatest,positive
greatness,positive
greet,positive
grin,positive
grit,positive
groove,positive
groundbreaking,positive
guarantee,positive
guardian,positive
guidance,positive
guiltless,positive
gumption,positive
gush,positive
gusto,positive
gutsy,positive
hail,positive
halcyon,positive
hale,positive
hallmark,positive
hallmarks,positive
hallowed,positive
handier,positive
handily,positive
hands-down,positive
handsome,positive
handsomely,positive
handy,positive
hanker,positive
happier,positive
happily,positive
happiness,positive
happy,positive
hard-working,positive
hardier,positive
hardy,positive
harmless,positive
harmonious,positive
harmoniously,positive
harmonize,positive
harmony,positive
haven,positive
headway,positive
heady,positive
heal,positive
healthful,positive
healthy,positive
heart,positive
hearten,positive
heartening,positive
heartfelt,positive
heartily,positive
heartwarming,positive
heaven,positive
heavenly,positive
help,positive
helped,positive
helpful,positive
helping,positive
herald,positive
hero,positive
heroic,positive
heroically,positive
heroine,positive
heroize,positive
heros,positive
high-quality,positive
high-spirited,positive
highlight,positive
hilarious,positive
hilariously,positive
hilariousness,positive
hilarity,positive
historic,positive
holy,positive
homage,positive
honest,positive
honestly,positive
honesty,positive
honeymoon,positive
honor,positive
honorable,positive
honored,positive
honoring,positive
hooray,positive
hope,positive
hopeful,positive
hopefully,positive
hopefulness,positive
hopes,positive
hospitable,positive
hot,positive
hotcake,positive
hotcakes,positive
hottest,positive
hug,positive
humane,positive
humanists,positive
humanity,positive
humankind,positive
humble,positive
humility,positive
humor,positive
humorous,positive
humorously,positive
humour,positive
humourous,positive
ideal,positive
idealism,positive
idealist,positive
idealize,positive
ideally,positive
idol,positive
idolize,positive
idolized,positive
idyllic,positive
illuminate,positive
illuminati,positive
illuminating,positive
illumine,positive
illustrious,positive
ilu,positive
imaculate,positive
imaginative,positive
immaculate,positive
immaculately,positive
immense,positive
impartial,positive
impartiality,positive
impartially,positive
impassioned,positive
impeccable,positive
impeccably,positive
impel,positive
imperial,positive
imperturbable,positive
impervious,positive
impetus,positive
importance,positive
important,positive
importantly,positive
impregnable,positive
impress,positive
impressed,positive
impresses,positive
impression,positive
impressions,positive
impressive,positive
impressively,positive
impressiveness,positive
improve,positive
improved,positive
improvement,positive
improvements,positive
improves,positive
improving,positive
improvise,positive
inalienable,positive
incisive,positive
incisively,positive
incisiveness,positive
inclination,positive
inclinations,positive
inclined,positive
inclusive,positive
incontestable,positive
incontrovertible,positive
incorruptible,positive
incredible,positive
incredibly,positive
indebted,positive
indefatigable,positive
indelible,positive
indelibly,positive
independence,positive
independent,positive
indescribable,positive
indescribably,positive
indestructible,positive
indispensability,positive
indispensable,positive
indisputable,positive
individuality,positive
individualized,positive
indomitable,positive
indomitably,positive
indubitable,positive
indubitably,positive
indulgence,positive
indulgent,positive
industrious,positive
inestimable,positive
inestimably,positive
inexpensive,positive
infallibility,positive
infallible,positive
infallibly,positive
influential,positive
informative,positive
ingenious,positive
ingeniously,positive
ingenuity,positive
ingenuous,positive
ingenuously,positive
ingratiate,positive
ingratiating,positive
ingratiatingly,positive
innocence,positive
innocent,positive
innocently,positive
innocuous,positive
innovation,positive
innovative,positive
inoffensive,positive
inpressed,positive
inquisitive,positive
insight,positive
insightful,positive
insightfully,positive
insist,positive
insistence,positive
insistent,positive
insistently,positive
inspiration,positive
inspirational,positive
inspire,positive
inspiring,positive
instantly,positive
instructive,positive
instrumental,positive
intact,positive
integral,positive
integrated,positive
integrity,positive
intelligence,positive
intelligent,positive
intelligible,positive
intercede,positive
interest,positive
interested,positive
interesting,positive
interests,positive
intimacy,positive
intimate,positive
intricate,positive
intrigue,positive
intriguing,positive
intriguingly,positive
intuitive,positive
invaluable,positive
invaluablely,positive
inventive,positive
invigorate,positive
invigorating,positive
invincibility,positive
invincible,positive
inviolable,positive
inviolate,positive
invulnerable,positive
irrefutable,positive
irrefutably,positive
irreplaceable,positive
irreproachable,positive
irresistible,positive
irresistibly,positive
issue-free,positive
jauntily,positive
jaunty,positive
jaw-droping,positive
jaw-dropping,positive
jest,positive
joke,positive
jollify,positive
jolly,positive
jovial,positive
joy,positive
joyful,positive
joyfully,positive
joyless,positive
joyous,positive
joyously,positive
jubilant,positive
jubilantly,positive
jubilate,positive
jubilation,positive
jubiliant,positive
judicious,positive
just,positive
justice,positive
justifiable,positive
justifiably,positive
justification,positive
justify,positive
justly,positive
keen,positive
keenly,positive
keenness,positive
kemp,positive
kid,positive
kid-friendly,positive
kind,positive
kindliness,positive
kindly,positive
kindness,positive
kingmaker,positive
kiss,positive
knowledgeable,positive
kudos,positive
large,positive
large-capacity,positive
lark,positive
laud,positive
laudable,positive
laudably,positive
lavish,positive
lavishly,positive
law-abiding,positive
lawful,positive
lawfully,positive
lead,positive
leading,positive
leads,positive
lean,positive
learned,positive
learning,positive
led,positive
legendary,positive
legitimacy,positive
legitimate,positive
legitimately,positive
lenient,positive
leniently,positive
less-expensive,positive
leverage,positive
levity,positive
liberal,positive
liberalism,positive
liberally,positive
liberate,positive
liberation,positive
liberty,positive
lifeblood,positive
lifelong,positive
lifesaver,positive
light,positive
light-hearted,positive
lighten,positive
lighter,positive
likable,positive
like,positive
liked,positive
likes,positive
liking,positive
lionhearted,positive
literate,positive
live,positive
lively,positive
lofty,positive
logical,positive
long-lasting,positive
lovable,positive
lovably,positive
love,positive
loved,positive
loveliness,positive
lovely,positive
lover,positive
loves,positive
loving,positive
low-cost,positive
low-price,positive
low-priced,positive
low-risk,positive
lower-priced,positive
loyal,positive
loyalty,positive
lucid,positive
lucidly,positive
luck,positive
luckier,positive
luckiest,positive
luckily,positive
luckiness,positive
lucky,positive
lucrative,positive
luminous,positive
lush,positive
luster,positive
lustrous,positive
luxuriant,positive
luxuriate,positive
luxurious,positive
luxuriously,positive
luxury,positive
lyrical,positive
magic,positive
magical,positive
magnanimous,positive
magnanimously,positive
magnetic,positive
magnificence,positive
magnificent,positive
magnificently,positive
magnify,positive
majestic,positive
majesty,positive
manageable,positive
maneuverable,positive
manifest,positive
manly,positive
mannerly,positive
marvel,positive
marveled,positive
marvelled,positive
marvellous,positive
marvelous,positive
marvelously,positive
marvelousness,positive
marvels,positive
master,positive
masterful,positive
masterfully,positive
masterpiece,positive
masterpieces,positive
masters,positive
mastery,positive
matchless,positive
mature,positive
maturely,positive
maturity,positive
maximize,positive
meaningful,positive
meek,positive
mellow,positive
memorable,positive
memorialize,positive
mend,positive
mentor,positive
merciful,positive
mercifully,positive
mercy,positive
merit,positive
meritorious,positive
merrily,positive
merriment,positive
merriness,positive
merry,positive
mesmerize,positive
mesmerized,positive
mesmerizes,positive
mesmerizing,positive
mesmerizingly,positive
meticulous,positive
meticulously,positive
might,positive
mightily,positive
mighty,positive
mild,positive
mind-blowing,positive
mindful,positive
minister,positive
miracle,positive
miracles,positive
miraculous,positive
miraculously,positive
miraculousness,positive
mirth,positive
moderate,positive
moderation,positive
modern,positive
modest,positive
modesty,positive
mollify,positive
momentous,positive
monumental,positive
monumentally,positive
moral,positive
morality,positive
moralize,positive
motivate,positive
motivated,positive
motivation,positive
moving,positive
multi-purpose,positive
myriad,positive
natural,positive
naturally,positive
navigable,positive
neat,positive
neatest,positive
neatly,positive
necessarily,positive
necessary,positive
neutralize,positive
nice,positive
nicely,positive
nicer,positive
nicest,positive
nifty,positive
nimble,positive
noble,positive
nobly,positive
noiseless,positive
non-violence,positive
non-violent,positive
normal,positive
notable,positive
notably,positive
noteworthy,positive
noticeable,positive
nourish,positive
nourishing,positive
nourishment,positive
novel,positive
novelty,positive
nurture,positive
nurturing,positive
oasis,positive
obedience,positive
obedient,positive
obediently,positive
obey,positive
objective,positive
objectively,positive
obliged,positive
obsession,positive
obsessions,positive
obtainable,positive
obviate,positive
offbeat,positive
offset,positive
okay,positive
onward,positive
open,positive
openly,positive
openness,positive
opportune,positive
opportunity,positive
optimal,positive
optimism,positive
optimistic,positive
opulent,positive
orderly,positive
original,positive
originality,positive
outdo,positive
outdone,positive
outgoing,positive
outperform,positive
outperformed,positive
outperforming,positive
outperforms,positive
outshine,positive
outshone,positive
outsmart,positive
outstanding,positive
outstandingly,positive
outstrip,positive
outwit,positive
ovation,positive
overachiever,positive
overjoyed,positive
overtake,positive
overtaken,positive
overtakes,positive
overtaking,positive
overtook,positive
overture,positive
pacifist,positive
pacifists,positive
pain-free,positive
painless,positive
painlessly,positive
painstaking,positive
painstakingly,positive
palatable,positive
palatial,positive
palliate,positive
pamper,positive
pampered,positive
pamperedly,positive
pamperedness,positive
pampers,positive
panoramic,positive
paradise,positive
paramount,positive
pardon,positive
passion,positive
passionate,positive
passionately,positive
patience,positive
patient,positive
patiently,positive
patriot,positive
patriotic,positive
peace,positive
peaceable,positive
peaceful,positive
peacefully,positive
peacekeepers,positive
peach,positive
peerless,positive
penetrating,positive
penitent,positive
pep,positive
pepped,positive
pepping,positive
peppy,positive
peps,positive
perceptive,positive
perfect,positive
perfection,positive
perfectly,positive
permissible,positive
perseverance,positive
persevere,positive
persistent,positive
personages,positive
personality,positive
personalized,positive
perspicuous,positive
perspicuously,positive
persuade,positive
persuasive,positive
persuasively,positive
pertinent,positive
phenomenal,positive
phenomenally,positive
picturesque,positive
piety,positive
pillar,positive
pinnacle,positive
pious,positive
pithy,positive
placate,positive
placid,positive
plain,positive
plainly,positive
plausibility,positive
plausible,positive
playful,positive
playfully,positive
pleasant,positive
pleasantly,positive
please,positive
pleased,positive
pleases,positive
pleasing,positive
pleasingly,positive
pleasurable,positive
pleasurably,positive
pleasure,positive
pledge,positive
pledges,positive
plentiful,positive
plenty,positive
pluses,positive
plush,positive
plusses,positive
poetic,positive
poeticize,positive
poignant,positive
poise,positive
poised,positive
polished,positive
polite,positive
politeness,positive
popular,positive
popularity,positive
portable,positive
posh,positive
positive,positive
positively,positive
positiveness,positive
positives,positive
posterity,positive
potent,positive
potential,positive
powerful,positive
powerfully,positive
practicable,positive
practical,positive
pragmatic,positive
praise,positive
praiseworthy,positive
praising,positive
pre-eminent,positive
preach,positive
preaching,positive
precaution,positive
precautions,positive
precedent,positive
precious,positive
precise,positive
precisely,positive
precision,positive
preeminent,positive
preemptive,positive
prefer,positive
preferable,positive
preferably,positive
prefered,positive
preference,positive
preferences,positive
preferes,positive
preferring,positive
prefers,positive
premier,positive
premium,positive
prepared,positive
preponderance,positive
press,positive
prestige,positive
prestigious,positive
prettily,positive
pretty,positive
priceless,positive
pride,positive
principle,positive
principled,positive
privilege,positive
privileged,positive
prize,positive
pro,positive
pro-American,positive
pro-Beijing,positive
pro-Cuba,positive
pro-peace,positive
proactive,positive
problem-free,positive
problem-solver,positive
prodigious,positive
prodigiously,positive
prodigy,positive
productive,positive
productively,positive
profess,positive
proficient,positive
proficiently,positive
profit,positive
profitable,positive
profound,positive
profoundly,positive
profuse,positive
profusely,positive
profusion,positive
progress,positive
progressive,positive
prolific,positive
prominence,positive
prominent,positive
promise,positive
promised,positive
promises,positive
promising,positive
promoter,positive
prompt,positive
promptly,positive
proper,positive
properly,positive
propitious,positive
propitiously,positive
pros,positive
prospect,positive
prospects,positive
prosper,positive
prosperity,positive
prosperous,positive
prospros,positive
protect,positive
protection,positive
protective,positive
protector,positive
proud,positive
proven,positive
proves,positive
providence,positive
proving,positive
prowess,positive
prudence,positive
prudent,positive
prudently,positive
punctual,positive
pundits,positive
pure,positive
purification,positive
purify,positive
purity,positive
purposeful,positive
quaint,positive
qualified,positive
qualify,positive
quasi-ally,positive
quench,positive
quicken,positive
quicker,positive
quiet,positive
quieter,positive
radiance,positive
radiant,positive
rally,positive
rapid,positive
rapport,positive
rapprochement,positive
rapt,positive
rapture,positive
raptureous,positive
raptureously,positive
rapturous,positive
